obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
3317;31;Casky et al ;;Nigeria;7,7;10,4;1996;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;;;6,4;;;;;;;NUEagr;%;13,8;;;;12,6;;;;3;7,1;;;;3;40;;61,33;0,71;5,82;7,67;51,25;23,85;24,9;;;1750,32;25,84;1158,67;15,33
3318;31;Adjei-Nsaih;;Ghana;2,08;7,68;2003;;60;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy loamy;;6;;;;1,2;;;NUEagr;%;22,9;;;;27,5;;;;4;13,8;;;;4;60;;106,33;0,74;6,35;10,2;64,82;22,97;12,22;;;1235,65;27,93;1069,77;20,4
3319;31;Anyanzwa et al ;;Kenya;34,33;0,6;2005;;60;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;loamy sand;;5,5;;;;0,8;;;NUEagr;%;34;;;;31,9;;;;4;11,5;;;;3;60;;162,17;1,45;5,5;20,97;33,63;25,27;41,1;;;1496,81;22,33;1616,2;41,93
3320;31;Anyanzwa et al ;;Kenya;34,33;0,6;2005;;60;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;loam sand;;5,5;;;;0,8;;;NUEagr;%;18,1;;;;42,5;;;;4;31,6;;;;3;60;;162,17;1,45;5,5;20,97;33,63;25,27;41,1;;;1496,81;22,33;1616,2;41,93
3321;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;20;;;;15;;;;4;5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3322;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;13,8;;;;18,8;;;;4;5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3323;31;Fofana et al ;;Togo;1,63;6,47;;;20;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;18,8;;;;8,8;;;;4;5;;;;4;20;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3324;31;Fofana et al ;;Togo;1,63;6,47;;;40;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;3,1;;;;6,3;;;;4;5;;;;4;40;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3325;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;30;;;;20;;;;4;5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3326;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;20;;NUEagr;%;21,3;;;;26,3;;;;4;5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3327;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;22,5;;;;16,3;;;;4;5;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3328;31;Fofana et al ;;Togo;1,63;6,47;;;100;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;40;;NUEagr;%;16,3;;;;21,3;;;;4;5;;;;4;100;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
3329;31;Fofana et al ;;Togo;1,63;6,47;;;50;;;;;;;;;;;;mineral;;;;;maize;;;;;;;;;;sandy;;5,7;;;;0,3;;;NUEagr;%;22,5;;;;27,5;;;;4;16,3;;;;4;50;;158,5;2,73;6,03;36,03;58,48;16,6;24,95;;;1258,41;27,65;1118,06;72,07
