obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
4614;34;Diez. J_2004_Impact;Database of Luncheng;;2,19;41,44;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;4,7;7,1;30,1;;;19,3;;;NUEagr;%;27,6;;;;;;;;3;;;;;;170
4615;34;Xue. Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;rice;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;46;;;;;;;;3;;;;;;210
4616;34;Xue. Lihong_2014_Maintaining;Database of Luncheng;;120,1;31,51;;;;;;;;;;;;;;;;;;;;wheat;;;;;;;;;;;2,9;7,1;31,3;;;15;;;NUEagr;%;42,3;;;;;;;;3;;;;;;180
4617;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;33,6;;;;;;;;3;;;;;;241,5
4618;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;33,6;;;;;;;;3;;;;;;241,5
4619;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;33,6;;;;;;;;3;;;;;;241,5
4620;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;cabbage;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;14;;;;;;;;3;;;;;;260
4621;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;cabbage;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;14;;;;;;;;3;;;;;;260
4622;34;Zhang. Y_2011_Responses_Chinese;Database of Luncheng;;112,85;28,73;;;;;;;;;;;;;;;;;;;;cabbage;;;;;;;;;;;2,8;5,9;28,5;;;13,1;;;NUEagr;%;14;;;;;;;;3;;;;;;260
4623;34;Fan M_2013_Effects_Chinese;Database of Luncheng;;103,23;25,22;;;;;;;;;;;;;;;;;;;;lettuce;;;;;;;;;;;3,4;6,2;44;;;13,5;;;NUEagr;%;33,8;;;;;;;;3;;;;;;400
4624;34;Fan M_2013_Effects_Chinese;Database of Luncheng;;103,23;25,22;;;;;;;;;;;;;;;;;;;;lettuce;;;;;;;;;;;3,4;6,2;44;;;13,5;;;NUEagr;%;33,8;;;;;;;;3;;;;;;400
4625;34;Ren. Y_2011_Effect_Chinese;Database of Luncheng;;113,6;34,9;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,1;8,2;20,6;;;6,3;;;NUEagr;%;70;;;;;;;;2;;;;;;150
4626;34;Ren. Y_2011_Effect_Chinese;Database of Luncheng;;113,6;34,9;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,1;8,2;20,6;;;6,3;;;NUEagr;%;44,3;;;;;;;;2;;;;;;225
4627;34;Wang Xiubin_2016_The;Database of Luncheng;;115,32;38,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,1;8;20,3;;;7,7;;;NUEagr;%;28,7;;;;;;;;3;;;;;;168
4628;34;Wang Xiubin_2016_The;Database of Luncheng;;115,32;38,01;;;;;;;;;;;;;;;;;;;;maize;;;;;;;;;;;1,1;8;20,3;;;7,7;;;NUEagr;%;42,1;;;;;;;;3;;;;;;168
