obs_no;no;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl
1;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;160;;;;;;;;;;;;U;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;63,1;;;;253;;;;3;152;;;;3;160
2;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;160;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;66,9;;;;259;;;;3;152;;;;3;160
3;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;200;;;;;;;;;;;;U;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;69;;;;290;;;;3;152;;;;3;200
4;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2004;end apr - oct ;200;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;168;;618;518;0-20;sandy-loam;14;8,1;13,8;34;150;;;;NUEagr;%;72;;;;296;;;;3;152;;;;3;200
5;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;220;;;;;;;;;;;;U;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;50,5;;;;225;;;;3;114;;;;3;220
6;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;220;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;54,5;;;;234;;;;3;114;;;;3;220
7;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;260;;;;;;;;;;;;U;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;49,6;;;;243;;;;3;114;;;;3;260
8;1;Díez-López et al. (2008);Effect of a nitrification inhibitor (DMPP) on nitrate leaching and maize yield during two growing seasons;Spain ;-3,32;40,32;2005;end apr - oct ;260;;;;;;;;;;;;U + DMPP ;;;;;maize;;460;;;63;;743;642;0-20;sandy-loam;14;8,1;13,8;34;80;;;;NUEagr;%;55;;;;257;;;;3;114;;;;3;260
9;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;U;;;;;maize;maize-maize;377;;;263;;;406;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;43,5;;;;170;;;;3;63;;;;3;246
10;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;39,8;;;;161;;;;3;63;;;;3;246
11;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;UAN;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;37,8;;;;156;;;;3;63;;;;3;246
12;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;UAN + NBPT + DCD;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;35,8;;;;151;;;;3;63;;;;3;246
13;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;U;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;33,7;;;;121;;;;3;53;;;;3;202
14;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;28,2;;;;110;;;;3;53;;;;3;202
15;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;UAN;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;30,7;;;;115;;;;3;53;;;;3;202
16;2;Halvorson et al. (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;UAN + NBPT + DCD;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;36,1;;;;126;;;;3;53;;;;3;202
17;3;Sanz-Cobena et al. (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;8,4;;;;147;;;;3;126;;;;3;250
18;3;Sanz-Cobena et al. (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U + NBPT;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;19,2;;;;174;;;;3;126;;;;3;250
19;3;Sanz-Cobena et al. (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U + DCD + NBPT;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;19,2;;;;174;;;;3;126;;;;3;250
20;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;36;4;;;167;;;11;;115;;;16;;150
21;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;25;6,3;;;152;;;9;;115;;;16;;150
22;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;38;6,5;;;170;;;9;;115;;;16;;150
23;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;44;12,8;;;184;;;19;;119;;;24;;150
24;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;27;8,6;;;158;;;16;;119;;;24;;150
25;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;51;9,6;;;193;;;12;;119;;;24;;150
26;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;65;7,2;;;241;;;15;;146;;;19;;150
27;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;66;5,2;;;242;;;14;;146;;;19;;150
28;4;Venterea et al. (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;54;5,4;;;225;;;4;;146;;;19;;150
29;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Efficiency of Furrow-Irrigated Corn;USA;-91,27;33,8;2011;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;68,8;;;;272;;;;4;164;;;;4;157
30;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2011;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;66,2;;;;268;;;;4;164;;;;4;157
31;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2011;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;55,7;;;;295;;;;4;164;;;;4;235
32;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2011;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;50,6;;;;283;;;;4;164;;;;4;235
33;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2012;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;96,2;;;;203;;;;4;52;;;;4;157
34;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2012;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;105,1;;;;217;;;;4;52;;;;4;157
35;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2012;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;102,1;;;;292;;;;4;52;;;;4;235
36;5;Roberts et al. (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,8;2012;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;100,4;;;;288;;;;4;52;;;;4;235
37;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2014/2015;may - sept;155;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;67,4;8,28;;;216;;;;6;111,5;;;;6;155
38;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2014/2015;may - sept;200;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;59,2;6,5;;;229,8;;;;6;111,5;;;;6;200
39;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2014/2015;may - sept;200;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;68,6;5,34;;;248,7;;;;6;111,5;;;;6;200
40;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2014/2015;may - sept;245;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;56,8;4,74;;;250,6;;;;6;111,5;;;;6;245
41;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2014/2015;may - sept;245;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;50,7;6,22;;;235,7;;;;6;111,5;;;;6;245
42;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;110;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;52,4;10,34;;;157,9;;;;6;100,3;;;;6;110
43;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;155;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;50,9;5,02;;;179,2;;;;6;100,3;;;;6;155
44;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;155;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;60;8,86;;;193,4;;;;6;100,3;;;;6;155
45;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;200;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;38;8,88;;;176,3;;;;6;100,3;;;;6;200
46;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;200;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;52,9;10,64;;;206,2;;;;6;100,3;;;;6;200
47;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;245;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;34,2;6,8;;;184;;;;6;100,3;;;;6;245
48;6;Mueller et al. (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,3;2016;end apr - sept;245;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17;6,3;;;;;;;NUEagr;%;49,7;7,38;;;222,1;;;;6;100,3;;;;6;245
49;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;45;;;;88;;;;3;52;;;;3;80
50;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;120;;;;;;;;;;;;U ;;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;33,3;;;;92;;;;3;52;;;;3;120
51;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;1;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;52;;;;123;;;;3;73;;;;3;80
52;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;PE;V6;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;78;;;;144;;;;3;73;;;;3;80
53;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;PE;V12;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;69;;;;138;;;;3;73;;;;3;80
54;7;Kitonyo et al. (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;V6;V12;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;54;;;;121;;;;3;73;;;;3;80
55;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115;36,9;2013;mid jun - oct;114,1;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;96;4;;;189,8;;;;4;80,2;;;;4;114,1
56;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115;36,9;2013;mid jun - oct;163;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;91;5;;;228,6;;;;4;80,2;;;;4;163
57;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115;36,9;2013;mid jun - oct;211,9;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;72;6;;;232,8;;;;4;80,2;;;;4;211,9
58;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115;36,9;2013;mid jun - oct;250;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;57;3;;;222,7;;;;4;80,2;;;;4;250
59;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China ;115;36,9;2014;mid jun - oct;121,8;;;;;;;;;;;;U ;;;;;maize;;;;;;;;170;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;95;5;;;197,9;;;;4;82,2;;;;4;121,8
60;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China ;115;36,9;2014;mid jun - oct;174;;;;;;;;;;;;U ;;;;;maize;;;;;;;;170;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;84;3;;;228,4;;;;4;82,2;;;;4;174
61;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China ;115;36,9;2014;mid jun - oct;226,2;;;;;;;;;;;;U ;;;;;maize;;;;;;;;170;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;69;5;;;238,3;;;;4;82,2;;;;4;226,2
62;8;Yan et al. (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China ;115;36,9;2014;mid jun - oct;250;;;;;;;;;;;;U ;;;;;maize;;;;;;;;170;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;58;4;;;227,2;;;;4;82,2;;;;4;250
63;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;75;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;84;8,5;;;178;;;6;3;115;;;8;3;75
64;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;113;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;70,7;3,2;;;195;;;4;3;115;;;8;3;113
65;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;150;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;60,7;3,6;;;206;;;5;3;115;;;8;3;150
66;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;188;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;48,5;0,3;;;206;;;1;3;115;;;8;3;188
67;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;0;104;;;;;;;;;;;slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;64,9;2,8;;;182;;;3;3;115;;;8;3;104
68;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;0;156;;;;;;;;;;;slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;52,8;1,8;;;197;;;3;3;115;;;8;3;156
69;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;0;209;;;;;;;;;;;slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;47,2;4;;;213;;;8;3;115;;;8;3;209
70;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;0;261;;;;;;;;;;;slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;43,1;0,4;;;227;;;1;3;115;;;8;3;261
71;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;38;156;;;;;;;;;;;CAN + slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;48,6;2,8;;;209;;;5;3;115;;;8;3;194
72;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;75;104;;;;;;;;;;;CAN + slurry;;;;;maize;;;;;;;;;;sandy;40;;20;;;;;;NUEagr;%;53,1;1,1;;;210;;;2;3;115;;;8;3;179
73;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,1;52,63;2001;may  - oct ;113;52;;;;;;;;;;;CAN + slurry;;;;;maize;;;;;; ;;;;sandy;40;;20;;;;;;NUEagr;%;59,1;4,1;;;212;;;7;3;115;;;8;3;165
74;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,25;53,3;2001;may  - oct ;75;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;silty-clay-loam;64;;39;;;;;;NUEagr;%;78,2;10,5;;;181;;;8;3;123;;;8;3;75
75;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,25;53,3;2001;may  - oct ;113;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;silty-clay-loam;64;;39;;;;;;NUEagr;%;35,5;4,6;;;163;;;5;3;123;;;8;3;113
76;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,25;53,3;2001;may  - oct ;150;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;silty-clay-loam;64;;39;;;;;;NUEagr;%;32,6;1,4;;;171;;;2;3;123;;;8;3;150
77;9;Van Groenigen et al. (2004);Nitrous oxide emissions from silage maize fields under different mineral nitrogen fertilizer and slurry applications,;Netherlands;6,25;53,3;2001;may  - oct ;188;0;;;;;;;;;;;CAN;;;;;maize;;;;;;;;;;silty-clay-loam;64;;39;;;;;;NUEagr;%;20,7;3,2;;;161;;;6;3;123;;;8;3;188
